Datacube Filename,Object,RA,DEC,DATE OBS,DP.ID,EXPTIME [s],INS MODE,DIMM Seeing-avg,Airmass,Wavelength,R (&lambda;/&delta;&lambda;)
S.MUSE.2021-01-21T01:43:05.463.fits,J0148-0055,27.038279,-0.91933,2020-12-08 02:26:04,MUSE.2020-12-08T02:26:04.797,900.0,WFM-NOAO-N,0.86 [0.20],1.14,474.962..934.962,3026.52807617188
S.MUSE.2021-01-21T03:06:56.030.fits,3C 114.0,65.093959,17.89889,2020-12-09 06:22:23,MUSE.2020-12-09T06:22:23.528,712.0,WFM-NOAO-N,0.58 [0.06],1.81,474.990..934.990,3026.66748046875
S.MUSE.2021-01-29T10:02:04.980.fits,GAMAJ231312.74-340052.2,348.302514,-34.01418,2020-12-16 00:58:37,MUSE.2020-12-16T00:58:37.278,1320.0,WFM-AO-N,0.70 [0.06],1.24,469.960..934.960,3013.92749023438
S.MUSE.2021-01-29T11:06:13.423.fits,SDSSJ0005m0006,1.466306,-0.11681,2020-12-04 02:52:20,MUSE.2020-12-04T02:52:20.350,1482.0,WFM-NOAO-N,0.64 [0.10],1.53,474.954..934.954,3026.48754882812
S.MUSE.2021-02-01T14:22:31.343.fits,SLACS J1020+1122,155.112381,11.37975,2020-12-22 07:09:44,MUSE.2020-12-22T07:09:44.614,1312.0,WFM-AO-N,0.55 [0.04],1.4,470.041..935.166,3014.6513671875
S.MUSE.2021-02-04T22:42:55.956.fits,CSP13Z,163.025536,-13.57325,2020-12-26 07:27:20,MUSE.2020-12-26T07:27:20.596,701.0,WFM-NOAO-E,1.15 [0.13],1.13,460.041..935.166,2989.47998046875
S.MUSE.2021-02-04T23:48:55.903.fits,J0911+18,137.804871,18.52385,2021-01-10 05:47:38,MUSE.2021-01-10T05:47:38.202,609.0,WFM-AO-E,0.42 [0.04],1.4,460.019..935.019,2989.05102539062
S.MUSE.2021-04-06T20:31:57.916.fits,GAMAJ121953.19-022851.7,184.971699,-2.48122,2021-03-12 04:17:17,MUSE.2021-03-12T04:17:17.002,1320.0,WFM-AO-N,0.62 [0.12],1.16,470.011..935.011,3014.18676757812
S.MUSE.2021-04-21T23:33:26.456.fits,J1235-0051,188.778521,-0.85881,2021-04-10 01:23:29,MUSE.2021-04-10T01:23:29.043,645.0,WFM-NOAO-N,0.69 [0.04],1.42,474.990..934.990,3026.66821289062
S.MUSE.2021-04-28T05:24:59.206.fits,2M1134-2103,173.665771,-21.05933,2021-04-16 00:06:37,MUSE.2021-04-16T00:06:37.784,600.0,WFM-AO-N,0.77 [0.03],1.23,469.983..934.983,3014.04418945312
